Date,HomeTeam,Score,AwayTeam
13-09-2025,Newcastle,1 - 0,Wolves
30-08-2025,Leeds,0 - 0,Newcastle
25-08-2025,Newcastle,2 - 3,Liverpool
16-08-2025,Aston Villa,0 - 0,Newcastle
26-10-2025,Bournemouth,2 - 0,Nott'm Forest
18-10-2025,Nott'm Forest,0 - 3,Chelsea
05-10-2025,Newcastle,2 - 0,Nott'm Forest
27-09-2025,Nott'm Forest,0 - 1,Sunderland
20-09-2025,Burnley,1 - 1,Nott'm Forest
13-09-2025,Arsenal,3 - 0,Nott'm Forest
31-08-2025,Nott'm Forest,0 - 3,West Ham
24-08-2025,Crystal Palace,1 - 1,Nott'm Forest
17-08-2025,Nott'm Forest,3 - 1,Brentford
25-10-2025,Chelsea,1 - 2,Sunderland
18-10-2025,Sunderland,2 - 0,Wolves
04-10-2025,Man United,2 - 0,Sunderland
27-09-2025,Nott'm Forest,0 - 1,Sunderland
21-09-2025,Sunderland,1 - 1,Aston Villa
13-09-2025,Crystal Palace,0 - 0,Sunderland
30-08-2025,Sunderland,2 - 1,Brentford
23-08-2025,Burnley,2 - 0,Sunderland
16-08-2025,Sunderland,3 - 0,West Ham
26-10-2025,Everton,0 - 3,Tottenham
19-10-2025,Tottenham,1 - 2,Aston Villa
04-10-2025,Leeds,1 - 2,Tottenham
27-09-2025,Tottenham,1 - 1,Wolves
20-09-2025,Brighton,2 - 2,Tottenham
13-09-2025,West Ham,0 - 3,Tottenham
30-08-2025,Tottenham,0 - 1,Bournemouth
23-08-2025,Man City,0 - 2,Tottenham
16-08-2025,Tottenham,3 - 0,Burnley
24-10-2025,Leeds,2 - 1,West Ham
20-10-2025,West Ham,0 - 2,Brentford
04-10-2025,Arsenal,2 - 0,West Ham
29-09-2025,Everton,1 - 1,West Ham
20-09-2025,West Ham,1 - 2,Crystal Palace
13-09-2025,West Ham,0 - 3,Tottenham
31-08-2025,Nott'm Forest,0 - 3,West Ham
22-08-2025,West Ham,1 - 5,Chelsea
16-08-2025,Sunderland,3 - 0,West Ham
26-10-2025,Wolves,2 - 3,Burnley
18-10-2025,Sunderland,2 - 0,Wolves
05-10-2025,Wolves,1 - 1,Brighton
27-09-2025,Tottenham,1 - 1,Wolves
20-09-2025,Wolves,1 - 3,Leeds
13-09-2025,Newcastle,1 - 0,Wolves
30-08-2025,Wolves,2 - 3,Everton
23-08-2025,Bournemouth,1 - 0,Wolves
16-08-2025,Wolves,0 - 4,Man City
